x,y,z
17,57,30
17,57,31
17,57,32
17,57,33
17,57,34
17,57,35
17,57,36
17,58,24
17,58,25
17,58,26
17,58,27
17,58,28
17,58,29
17,58,30
17,58,31
17,58,32
17,58,33
17,58,34
17,58,35
17,58,36
17,59,28
17,59,29
17,59,30
17,59,31
17,59,32
17,59,33
17,59,34
17,60,29
17,60,30
17,60,31
17,60,32
17,60,33
17,60,34
17,61,30
17,61,31
17,61,32
17,62,30
18,13,14
18,14,14
18,17,14
18,18,14
18,19,23
18,20,44
18,21,43
18,21,44
18,22,5
18,22,6
18,22,43
18,22,44
18,23,5
18,23,6
18,23,7
18,23,22
18,23,42
18,23,43
18,24,5
18,24,6
18,24,7
18,24,22
18,24,41
18,25,5
18,25,6
18,25,22
18,25,36
18,25,37
18,25,38
18,25,39
18,26,6
18,26,22
18,26,35
18,26,36
18,26,37
18,26,38
18,26,39
18,27,22
18,27,35
18,27,36
18,27,37
18,27,38
18,27,39
18,28,22
18,28,23
18,28,35
18,28,36
18,28,37
18,28,38
18,29,22
18,29,23
18,29,24
18,29,36
18,29,37
18,30,22
18,30,23
18,30,24
18,31,22
18,31,23
18,31,32
18,32,22
18,32,23
18,32,32
18,33,22
18,33,32
18,40,37
18,40,38
18,40,39
18,40,40
18,41,36
18,41,37
18,41,38
18,41,39
18,41,40
18,41,41
18,41,45
18,41,46
18,42,30
18,42,35
18,42,36
18,42,37
18,42,38
18,42,39
18,42,40
18,42,41
18,43,24
18,43,25
18,43,26
18,43,27
18,43,28
18,43,29
18,43,30
18,43,33
18,44,23
18,44,24
18,44,25
18,44,26
18,44,27
18,44,28
18,44,29
18,44,30
18,45,23
18,45,24
18,45,25
18,45,26
18,45,27
18,45,28
18,45,29
18,45,30
18,46,23
18,46,24
18,46,25
18,46,26
18,46,27
18,46,28
18,46,29
18,47,23
18,47,24
18,47,25
18,47,26
18,47,27
18,47,28
18,47,29
18,47,30
18,48,23
18,48,24
18,48,25
18,48,26
18,48,27
18,48,28
18,48,29
18,49,22
18,49,23
18,49,24
18,49,25
18,49,26
18,49,27
18,49,28
18,49,29
18,50,22
18,50,23
18,50,24
18,50,25
18,50,26
18,50,27
18,50,28
18,50,29
18,51,23
18,51,24
18,51,25
18,51,26
18,51,27
18,51,28
18,51,29
18,52,24
18,52,25
18,52,26
18,52,27
18,52,28
18,52,29
18,52,32
18,52,33
18,52,34
18,53,24
18,53,25
18,53,26
18,53,27
18,53,28
18,53,29
18,53,30
18,53,31
18,53,32
18,53,33
18,53,34
18,53,35
18,54,24
18,54,25
18,54,26
18,54,27
18,54,28
18,54,29
18,54,30
18,54,31
18,54,32
18,54,33
18,54,34
18,54,35
18,54,36
18,55,24
18,55,25
18,55,26
18,55,27
18,55,28
18,55,29
18,55,30
18,55,31
18,55,32
18,55,33
18,55,34
18,55,35
18,55,36
18,56,24
18,56,25
18,56,26
18,56,27
18,56,28
18,56,29
18,56,30
18,56,31
18,56,32
18,56,33
18,56,34
18,56,35
18,56,36
18,56,37
18,57,23
18,57,24
18,57,25
18,57,26
18,57,27
18,57,28
18,57,29
18,57,30
18,57,31
18,57,32
18,57,33
18,57,34
18,57,35
18,57,36
18,57,37
18,58,27
18,58,28
18,58,29
18,58,30
18,58,31
18,58,32
18,58,33
18,58,34
18,58,35
18,58,36
18,59,29
18,59,30
18,59,31
18,59,32
18,59,33
18,59,34
18,59,35
18,60,30
18,60,31
18,60,32
18,60,33
18,60,34
18,61,30
18,61,31
18,61,32
18,62,30
18,62,31
18,62,32
19,13,14
19,17,23
19,18,22
19,19,22
19,19,44
19,20,22
19,20,44
19,21,23
19,21,25
19,21,26
19,22,5
19,22,6
19,22,7
19,22,23
19,22,24
19,22,25
19,22,26
19,23,5
19,23,6
19,23,7
19,23,8
19,23,23
19,23,24
19,23,25
19,23,26
19,24,5
19,24,6
